v8-version,7,1,302,31,0
code-creation,Builtin,3,4000,0x7ff6df58d160,40,LoadGlobalIC_Slow
code-creation,Builtin,3,4000,0x7ff6df58d1a0,88,LoadIC_FunctionPrototype
code-creation,Builtin,3,4000,0x7ff6df58d200,36,LoadIC_Slow
code-creation,Builtin,3,4000,0x7ff6df58d240,20,LoadIC_StringLength
code-creation,Builtin,3,4000,0x7ff6df58d260,24,LoadIC_StringWrapperLength
code-creation,Builtin,3,4000,0x7ff6df58d280,3356,LoadIC_Uninitialized
code-creation,Builtin,3,4000,0x7ff6df58dfa0,40,StoreGlobalIC_Slow
code-creation,Builtin,3,4000,0x7ff6df58dfe0,6664,StoreIC_Uninitialized
code-creation,Builtin,3,4000,0x7ff6df58fa00,40,StoreInArrayLiteralIC_Slow
code-creation,Builtin,3,4000,0x7ff6df58fa40,1256,EnqueueMicrotask
code-creation,Builtin,3,4000,0x7ff6df58ff40,1696,RunMicrotasks
code-creation,Builtin,3,4000,0x7ff6df590600,2316,HasProperty
code-creation,Builtin,3,4000,0x7ff6df590f20,1040,DeleteProperty
code-creation,Builtin,3,4000,0x7ff6df591340,36,Abort
code-creation,Builtin,3,4000,0x7ff6df591380,36,AbortJS
code-creation,Builtin,3,4000,0x7ff6df5913c0,12,EmptyFunction
code-creation,Builtin,3,4000,0x7ff6df5913e0,12,Illegal
code-creation,Builtin,3,4000,0x7ff6df591400,12,StrictPoisonPillThrower
code-creation,Builtin,3,4000,0x7ff6df591420,12,UnsupportedThrower
code-creation,Builtin,3,4000,0x7ff6df591440,67,ReturnReceiver
code-creation,Builtin,3,4000,0x7ff6df5914a0,36,ArrayConstructor
code-creation,Builtin,3,4000,0x7ff6df5914e0,455,ArrayConstructorImpl
code-creation,Builtin,3,4000,0x7ff6df5916c0,235,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,4000,0x7ff6df5917c0,235,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,4000,0x7ff6df5918c0,199,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,4000,0x7ff6df5919a0,199,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,4000,0x7ff6df591a80,199,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,4000,0x7ff6df591b60,199,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,4000,0x7ff6df591c40,211,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,4000,0x7ff6df591d20,211,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,4000,0x7ff6df591e00,559,ArraySingleArgumentConstructor_PackedSmi_DontOverride
